Date,Min_Price,Max_Price,Average_Price
2018-06-05,540.0,550.0,545.0
2018-06-06,540.0,550.0,545.0
2018-06-07,540.0,550.0,545.0
2018-06-08,540.0,550.0,545.0
2018-06-11,540.0,550.0,545.0
2018-06-11,540.0,550.0,545.0
2018-06-12,540.0,550.0,545.0
2018-06-13,540.0,550.0,545.0
2018-06-14,540.0,550.0,545.0
2018-06-15,540.0,550.0,545.0
2018-06-18,540.0,550.0,545.0
2018-06-18,540.0,550.0,545.0
2018-06-19,540.0,550.0,545.0
2018-06-20,540.0,550.0,545.0
2018-06-21,540.0,550.0,545.0
2018-06-22,540.0,550.0,545.0
2018-06-25,540.0,550.0,545.0
2018-06-25,540.0,550.0,545.0
2018-06-26,540.0,550.0,545.0
2018-06-27,540.0,550.0,545.0
2018-06-28,540.0,550.0,545.0
2018-06-29,540.0,550.0,545.0
2018-07-02,540.0,550.0,545.0
